Nº,Description,File_Location,STRIDE_Category,Abuse_Case,Dark_Corner,D_Score,D_Justification,R_Score,R_Justification,E_Score,E_Justification,A_Score,A_Justification,D_Score_2,D_Justification_2,DREAD_Total,Owner,Jira_Ticket,ETA,Comments
1,"Herramienta MCP 'delegate' sin control de acceso — cualquier agente puede auto-escalar su nivel de confianza invocando delegate para auto-aprobar herramientas restringidas","colmena-mcp/src/main.rs:L151-180","Elevation of Privilege (E)","Un agente malicioso o comprometido invoca el tool MCP 'delegate' con tool='Bash' y permanent=true. Esto crea una delegación permanente que auto-aprueba TODOS los comandos Bash (excepto blocked). El agente ahora ejecuta rm -r, curl, docker sin revisión humana.","Si un agente auto-escala trust y luego spawna sub-agentes (Agent está auto-aprobado), cada sub-agente hereda las delegaciones. En minutos se puede construir una cadena de agentes autónomos con trust total sobre el sistema, sin intervención humana. La delegación permanente persiste entre sesiones.",9,"Auto-aprobación de Bash permite ejecución de comandos destructivos, exfiltración de datos y compromiso total del sistema",10,"Cualquier invocación al tool MCP delegate funciona consistentemente",9,"Trivial: basta invocar el tool MCP nativo. No requiere exploits ni herramientas externas",10,"Afecta a todos los agentes y sesiones — delegación es global",9,"El tool MCP es listable via tool listing estándar de Claude Code",9.4,"Security Team",,,"Implementar ACL en delegate: requerir confirmación humana explícita. Nunca permitir auto-delegación por agentes."
2,"Delegaciones permanentes sin re-autenticación ni confirmación — el flag --permanent crea trust infinito sin expiración","colmena-cli/src/main.rs:L248-252; colmena-mcp/src/main.rs:L156-159","Elevation of Privilege (E)","Un usuario ejecuta 'colmena delegate --tool Bash --permanent' durante una sesión de debugging. La delegación nunca expira y persiste en runtime-delegations.json indefinidamente. Meses después, un agente ejecuta comandos destructivos sin revisión porque la delegación permanente sigue activa.","La delegación permanente sobrevive reinicios, nuevas sesiones y cambios de contexto. Si el archivo runtime-delegations.json se incluye en un backup o se sincroniza entre máquinas, la delegación se propaga. No existe mecanismo de revocación automatizada ni alertas de delegaciones activas.",8,"Trust permanente para cualquier herramienta permite bypass completo de reglas restricted",10,"El flag --permanent funciona consistentemente",8,"Requiere acceso al CLI delegate (disponible para usuario y via MCP)",10,"Afecta todos los agentes y sesiones futuras",8,"Flag documentado pero consecuencias no evidentes para el usuario",8.8,"Security Team",,,"Eliminar opción permanent o requerir TTL máximo configurable. Agregar comando 'delegate list' y 'delegate revoke'."
3,"Agent spawning auto-aprobado sin restricciones — permite cadenas de agentes autónomos sin límite","config/trust-firewall.yaml:L70-72","Elevation of Privilege (E)","Un agente auto-aprobado spawna un sub-agente que hereda las reglas de trust. Este sub-agente spawna otro, y así sucesivamente. Cada agente opera de forma autónoma dentro del trust_circle. Con 10+ agentes activos, el consumo de tokens y recursos es masivo.","Si se combina con una delegación permanente de Bash (amenaza #1), cada agente en la cadena tiene auto-aprobación total. Un solo agente comprometido puede crear un enjambre de agentes con privilegios elevados que operan sin supervisión humana.",8,"Cadenas de agentes ilimitadas consumen recursos masivos y operan sin control humano",10,"Agent spawning siempre auto-aprobado por trust_circle",9,"Cualquier agente puede invocar Agent tool",8,"Impacto sistémico: tokens, CPU, operaciones I/O",9,"Regla visible en trust-firewall.yaml",8.8,"Security Team",,,"Agregar rate-limiting a Agent spawning. Limitar profundidad de cadena de agentes. Considerar require 'ask' para Agent."
4,"Acciones auto-aprobadas sin registro de auditoría — operaciones auto-approve no dejan rastro","colmena-cli/src/main.rs:L176","Repudiation (R)","Un agente lee archivos sensibles (Read auto-aprobado), navega el filesystem completo (Glob/Grep auto-aprobado), y ejecuta comandos read-only que revelan información del sistema. Ninguna de estas acciones queda registrada. El usuario nunca sabe qué archivos fueron leídos ni qué información fue extraída.","En un escenario de incident response, es imposible determinar qué datos fueron accedidos por agentes auto-aprobados. Sin audit trail, no se puede evaluar el alcance de un compromiso. Violaciones de compliance (PCI-DSS, SOC2) por falta de logging de accesos a datos.",7,"Sin auditoría de operaciones auto-aprobadas, imposible realizar incident response ni compliance",10,"100% de operaciones auto-approve carecen de registro",10,"No requiere acción del atacante — es comportamiento por defecto del sistema",10,"Todas las operaciones auto-aprobadas (mayoría del tráfico) sin rastro",7,"Requiere entender el flujo de enqueue_pending para descubrir la ausencia",8.8,"Security Team",,,"Implementar audit log para TODAS las decisiones (approve/ask/block). Formato append-only con timestamps y hashes."
5,"Delegaciones sin registro de auditoría — adición y uso de delegaciones no se registra","colmena-core/src/delegate.rs:L44-58","Repudiation (R)","Un usuario o agente crea una delegación via CLI o MCP. La delegación se almacena en runtime-delegations.json pero no queda registro de quién la creó, cuándo, ni por qué. Si la delegación se usa para auto-aprobar operaciones destructivas, no hay trail de la cadena de escalación.","Si un atacante obtiene acceso temporal al sistema y crea delegaciones permanentes, estas sobreviven al cierre de sesión. Sin log de creación, no hay forma de identificar delegaciones ilegítimas durante una auditoría. El campo session_id existe pero nunca se usa para validación.",7,"Trust escalation sin trazabilidad permite bypass persistente sin detección",10,"Toda creación de delegación carece de auditoría",9,"Delegate disponible via CLI y MCP sin restricciones",7,"Todas las delegaciones creadas",7,"Análisis del código delegate.rs revela ausencia de logging",8.0,"Security Team",,,"Log inmutable de toda operación de delegación: creación, uso, expiración. Incluir session_id, user, timestamp, motivo."
6,"settings.json sin protección de integridad — sustitución del comando hook permite bypass total","colmena-cli/src/install.rs:L91","Tampering (T)","Un atacante con acceso local a ~/.claude/settings.json modifica el hook command para apuntar a un binario malicioso que siempre responde 'allow'. Todas las operaciones de Claude Code se auto-aprueban sin pasar por el firewall real de Colmena.","Si el atacante reemplaza el binario hook por un script que loguea todos los tool_input antes de responder 'allow', obtiene visibilidad completa sobre todas las operaciones de CC (espionaje) además de bypass de seguridad. El ataque persiste entre sesiones.",9,"Bypass completo del firewall de trust: todas las operaciones se auto-aprueban",8,"Requiere escritura en HOME dir pero el archivo no tiene protección adicional",5,"Requiere acceso local al filesystem del usuario",10,"Todas las evaluaciones de hook comprometidas",7,"~/.claude/settings.json es path conocido y documentado",7.8,"Security Team",,,"Verificar integridad del binario hook al inicio. Checksum del binario en settings.json. Alerta si hook command cambia."
7,"session_id de delegaciones no se valida — delegaciones filtran entre sesiones","colmena-core/src/firewall.rs:L76-95; colmena-core/src/delegate.rs:L17","Spoofing (S)","Un usuario crea una delegación temporal para una sesión de debugging. La delegación queda en runtime-delegations.json y es accesible por CUALQUIER sesión posterior o concurrente. Un agente en otra sesión se beneficia de la delegación sin que el usuario lo sepa.","El campo session_id existe en RuntimeDelegation (L17) pero check_delegations (firewall.rs:L76-95) nunca lo valida. Esto significa que delegaciones creadas para un contexto específico aplican globalmente. En equipos con múltiples sesiones CC concurrentes, las delegaciones se filtran entre workflows no relacionados.",8,"Delegaciones de una sesión aplican a todas: trust escalation involuntaria",9,"Siempre funciona si delegación existe",7,"Requiere entender que delegaciones son cross-session",8,"Afecta todas las sesiones concurrentes y futuras",6,"Requiere análisis de código para descubrir que session_id no se enforce",7.6,"Backend Team",,,"Implementar filtrado por session_id en check_delegations. Delegaciones deben ser scoped a la sesión que las creó."
8,"stdin del hook sin límite de tamaño — payload grande causa OOM y bloquea evaluación","colmena-cli/src/main.rs:L144-147","Denial of Service (D)","Un payload JSON malformado o extremadamente grande (>100MB) es enviado al hook via stdin. read_to_string() intenta cargar todo en memoria, causando OOM kill del proceso. Mientras el hook está bloqueado, CC no puede evaluar ninguna operación.","Si CC genera payloads con tool_input muy grande (ej: contenido de archivo completo en Write), el hook puede ser consistentemente lento o fallar. En el mejor caso, la latencia del hook supera el target de 100ms. En el peor caso, el proceso se mata por OOM y CC queda sin firewall activo.",7,"Hook OOM causa que CC opere sin firewall de trust",9,"Payload grande consistentemente causa el problema",7,"Requiere enviar JSON grande via stdin (factible si se controla tool_input)",8,"Todas las evaluaciones bloqueadas mientras hook está caído",7,"Pattern read_to_string() sin límite es conocido",7.6,"Backend Team",,,"Implementar límite de lectura (ej: 10MB). Usar BufReader con límite. Timeout configurable para el hook."
9,"Ausencia de mecanismo de revocación de delegaciones — delegaciones comprometidas persisten","colmena-core/src/delegate.rs:L22-41","Elevation of Privilege (E)","Un usuario descubre que una delegación permanente fue creada erróneamente o por un agente malicioso. No existe comando 'delegate revoke' ni 'delegate list'. La única opción es editar manualmente runtime-delegations.json, lo cual requiere conocimiento del formato interno.","En un incidente de seguridad, la incapacidad de revocar delegaciones rápidamente extiende la ventana de exposición. Si el archivo JSON se corrompe durante edición manual, load_delegations() retorna vec vacío (L25-30), eliminando TODAS las delegaciones legítimas también.",7,"No se pueden revocar delegaciones comprometidas de forma programática",10,"No existe comando de revocación en CLI ni MCP",7,"Requiere edición manual de JSON (propenso a errores)",7,"Todas las delegaciones activas del tool afectado",7,"Feature gap descubrible al buscar 'revoke' o 'delete' en CLI help",7.6,"Backend Team",,,"Implementar 'colmena delegate list' y 'colmena delegate revoke --tool X'. Agregar tool MCP equivalente."
10,"Queue de aprobación sin pruning — acumulación indefinida de archivos causa exhaustión de disco","colmena-core/src/queue.rs:L25-58","Denial of Service (D)","Cada decisión 'Ask' genera un archivo JSON en config/queue/pending/. En sesiones intensivas con muchas herramientas restringidas, se generan cientos de archivos por hora. Sin mecanismo de limpieza, el directorio crece indefinidamente.","Con 180+ archivos ya presentes en el directorio actual, la acumulación afecta rendimiento de list_pending() (lee todos los archivos). Si el disco se llena, write() en queue.rs falla y el error se loguea pero se ignora (main.rs:L180-182). CC sigue funcionando pero sin registro de operaciones Ask.",5,"Disco lleno afecta operaciones del sistema y pierde registro de aprobaciones pendientes",9,"Cada Ask crea archivo — comportamiento consistente",6,"Solo requiere generar muchas operaciones Ask (uso normal intenso)",8,"Impacto sistémico cuando disco se llena",8,"Directorio queue/pending/ es visible e inspeccionable",7.2,"Backend Team",,,"Implementar TTL para queue entries. Comando 'colmena queue prune'. Mover entries decididas a queue/decided/."
11,"Fallback de HOME a /tmp — directorio world-writable usado para config si HOME no está definido","colmena-core/src/paths.rs:L22; colmena-cli/src/install.rs:L135","Elevation of Privilege (E)","En entornos donde HOME no está definido (containers, scripts de CI/CD, servicios systemd), colmena usa /tmp/colmena como directorio raíz. Un atacante pre-crea /tmp/colmena/config/trust-firewall.yaml con reglas permisivas (todo auto-approve). Todas las evaluaciones usan config maliciosa.","Si delegaciones se almacenan en /tmp/colmena/config/runtime-delegations.json, cualquier usuario del sistema puede leer/modificar delegaciones. Queue entries con tool_input sensible quedan en directorio world-readable. En containers multi-tenant, esto es un vector de escape de sandbox.",9,"Config en /tmp permite bypass total del firewall y acceso a datos sensibles de queue",4,"Requiere HOME no definido (infrecuente en workstations, común en containers)",7,"Pre-crear directorio en /tmp es trivial",10,"Todas las evaluaciones comprometidas si aplica",6,"Requiere análisis de paths.rs para descubrir fallback",7.2,"DevOps",,,"Eliminar fallback a /tmp. Fallar con error explícito si HOME no está definido. Validar permisos del directorio config."
12,"Patrón regex de blocked incompleto — bypass via variaciones de comandos destructivos","config/trust-firewall.yaml:L98","Elevation of Privilege (E)","La regla blocked usa el patrón '(--force|--hard|rm -rf /)'. Un agente ejecuta 'git push --force-with-lease' que contiene '--force' como substring y ES bloqueado (correcto). Pero 'git reset --hard~1' NO contiene '--hard' como token aislado. Adicionalmente, 'rm -rf /home' NO matchea 'rm -rf /' por ser distinto.","El patrón 'rm -rf /' solo matchea la raíz exacta. 'rm -rf /home', 'rm -rf /etc', 'rm -rf /var' NO están bloqueados. Estos caen en restricted (L78: '^rm') con action Ask, pero si existe una delegación para Bash, se auto-aprueban. Combinado con amenaza #1, un agente podría borrar directorios críticos.",9,"Comandos destructivos como rm -rf /home o git reset hard~1 pueden ejecutarse",7,"Bypass funciona si el comando no matchea el patrón exacto",6,"Requiere conocimiento de regex y variaciones de comandos",8,"Afecta la integridad de datos y configuración del sistema",6,"Requiere análisis del patrón regex en la config YAML",7.2,"Security Team",,,"Expandir blocked patterns: 'rm -rf /' → 'rm\\s+-rf\\s+/'. Agregar variaciones: git reset, shred, dd if=. Usar word boundaries."
13,"MCP evaluate usa session_id y tool_use_id hardcodeados — identidad ficticia en evaluaciones","colmena-mcp/src/main.rs:L193-197","Spoofing (S)","Un agente usa el tool MCP 'evaluate' para probar qué reglas aplican a diferentes herramientas sin que esto quede asociado a su sesión real. El session_id 'mcp' y tool_use_id 'mcp-eval' son compartidos por todas las evaluaciones MCP.","Si se implementa session-scoped delegations en el futuro, evaluaciones MCP nunca matchearán porque usan session_id='mcp'. Además, si queue entries se generan desde evaluate(), todos tendrían el mismo tool_use_id 'mcp-eval', causando colisiones de filename (queue.rs:L32).",5,"Identidad ficticia impide trazabilidad de evaluaciones MCP",10,"Todas las evaluaciones MCP usan mismos valores hardcoded",8,"Cualquier agente puede invocar MCP evaluate",5,"Solo evaluaciones via MCP (no hook directo)",7,"Visible en código fuente de colmena-mcp",7.0,"Backend Team",,,"Generar session_id y tool_use_id únicos por invocación MCP. Incluir agent_id del caller si disponible."
14,"Config se recarga y compila en cada invocación del hook — impacto en latencia","colmena-cli/src/main.rs:L157-158","Denial of Service (D)","Un atacante modifica trust-firewall.yaml para incluir 50+ reglas con regex complejos. Cada invocación del hook (una por tool call de CC) compila todos los regex. La latencia del hook supera los 100ms target, degradando la experiencia de CC.","Con suficientes reglas complejas, la compilación de regex podría tomar >500ms por invocación. CC ejecuta cientos de tool calls por sesión, multiplicando el impacto. Si la latencia excede el timeout de CC, el hook falla y CC opera sin evaluación de trust.",6,"Degradación de rendimiento del hook impacta productividad y puede causar timeout",8,"Latencia proporcional a la complejidad del config es consistente",5,"Requiere modificar config file (acceso local necesario)",8,"Todas las invocaciones del hook afectadas",7,"Pattern de reload-on-every-call es visible en main.rs",6.8,"Backend Team",,,"Cachear config compilada con hash del archivo. Recompilar solo si el hash cambia. Implementar lazy_static o similar."
15,"ReDoS potencial en bash_pattern — regex malicioso causa backtracking exponencial","colmena-core/src/config.rs:L92","Denial of Service (D)","Un administrador agrega un bash_pattern con regex vulnerable como '(a+)+b' en trust-firewall.yaml. Cuando un comando Bash contiene input como 'aaaaaaaaaaaaaaac', el regex engine entra en backtracking exponencial, bloqueando el hook por segundos o minutos.","El crate regex de Rust (por defecto) tiene protección contra backtracking exponencial usando NFA. Sin embargo, si se usan features avanzadas que habiliten backtracking (regex::bytes), el riesgo reaparece. Además, regex complejos aún pueden ser lentos sin ser exponenciales.",7,"Hook bloqueado por regex lento impide evaluación de trust para todas las operaciones",7,"Requiere regex específico + input trigger combinación",5,"Requiere modificar config (acceso admin necesario)",8,"Todas las evaluaciones del hook bloqueadas",6,"ReDoS es vector conocido para cualquier uso de regex",6.6,"Backend Team",,,"Agregar timeout de evaluación por regex. Validar complejidad de regex al compilar. El crate regex Rust mitiga la mayoría de casos."
16,"Queue entries almacenan tool_input completo — datos sensibles en archivos sin cifrar","colmena-core/src/queue.rs:L46","Information Disclosure (I)","Un agente intenta escribir un archivo con credenciales (Write con file_path=/project/.env). El firewall retorna Ask y enqueue_pending almacena el tool_input COMPLETO, incluyendo el contenido del archivo con las credenciales, en un JSON en config/queue/pending/.","Los archivos de queue son JSON plano sin cifrado. Si el directorio config/ se incluye en un commit de git accidentalmente, o si se respalda a un servicio de cloud storage, los datos sensibles de tool_input quedan expuestos. Credenciales, claves API y PII pueden persistir en queue por tiempo indefinido.",6,"Datos sensibles (credenciales, PII) almacenados en texto plano en disco",9,"Todas las decisiones Ask almacenan tool_input completo",6,"Leer archivos JSON del directorio queue/pending/",5,"Solo operaciones Ask (no auto-approve)",7,"Directorio queue/ es visible y archivos son JSON legible",6.6,"Security Team",,,"Sanitizar tool_input antes de almacenar: redactar file_path content, truncar commands largos. Cifrar queue entries at rest."
17,"Queue entries sin protección de integridad — entradas de aprobación modificables","colmena-core/src/queue.rs:L52-55","Tampering (T)","Un atacante con acceso local al directorio config/queue/pending/ modifica un archivo JSON de queue entry, cambiando el campo 'priority' de 'high' a 'low' o modificando 'tool' y 'input' para ocultar la operación original. El usuario humano revisa una versión falsificada.","Si el atacante elimina o corrompe queue entries, list_pending() silenciosamente los omite (L80: Err(_) => continue). Esto destruye evidencia de operaciones sospechosas sin generar alertas. Combinado con la falta de audit trail para auto-approve, se eliminan todas las trazas.",6,"Modificación de queue entries falsea información de aprobación y destruye evidencia",8,"Modificación de archivos JSON es trivial y consistente",5,"Requiere acceso local al filesystem",6,"Entries individuales afectadas",7,"Directorio queue/ es path conocido y documentado",6.4,"Security Team",,,"Agregar HMAC/firma a queue entries. Alertar si entries son modificadas post-creación. Log de acceso al directorio."
18,"path_not_match solo verifica filename — bypass via directorios con nombres sensibles","colmena-core/src/firewall.rs:L217-233","Elevation of Privilege (E)","La regla path_not_match ['*.env', '*credentials*', '*secret*', '*.key'] solo matchea contra el último componente del path (filename). Un agente escribe a '/project/secrets/config.yaml' — el filename 'config.yaml' no matchea ningún patrón de exclusión, pero el archivo está en un directorio llamado 'secrets/'.","En proyectos con directorios como 'secrets/', '.vault/', 'credentials/', los archivos dentro de estos directorios pasan la validación path_not_match porque solo se verifica el filename. Un agente podría crear y escribir archivos dentro de estos directorios sin restricción.",7,"Escritura en directorios sensibles (secrets/, vault/) sin restricción de path_not_match",7,"Consistente: glob_match siempre opera sobre filename only",6,"Requiere conocer la lógica de glob matching y estructura del proyecto",6,"Archivos dentro de directorios sensibles específicos",6,"Requiere análisis de firewall.rs para descubrir limitación de glob_match",6.4,"Backend Team",,,"Extender glob_match para operar sobre el path completo además del filename. Agregar opción path_not_contains para directorios."
19,"Patrón restricted de Bash incompleto — comandos destructivos indirectos no detectados","config/trust-firewall.yaml:L78","Elevation of Privilege (E)","La regla restricted para Bash solo detecta comandos que EMPIEZAN con rm, chmod, chown, kill, etc. Comandos como 'find / -name *.log -delete', 'shred -u file.key', 'dd if=/dev/zero of=/dev/sda', o 'python -c import os; os.remove(...)' bypasean la regla por no empezar con palabras clave restringidas.","Combinado con auto-approve de safe bash (trust_circle), un agente podría usar 'cat malicious_script.sh | bash' que matchea el patrón safe de piped commands (L46-49: '^cat .+\\|'). El script puede contener cualquier comando destructivo y se auto-aprobaría.",7,"Comandos destructivos indirectos (find -delete, shred, dd) ejecutados sin revisión humana",7,"Múltiples alternativas a comandos restringidos funcionan consistentemente",6,"Requiere conocimiento de alternativas a comandos Unix bloqueados",6,"Operaciones de archivo/sistema scope",6,"Análisis de trust-firewall.yaml revela gaps en patrones",6.4,"Security Team",,,"Expandir restricted patterns: incluir find -delete, shred, dd, mkfs, python -c, ruby -e. Considerar denylist vs allowlist."
20,"Error messages exponen rutas internas y detalles de configuración en respuesta del hook","colmena-cli/src/main.rs:L135","Information Disclosure (I)","Un atacante envía un payload JSON malformado al hook. El error handler captura el error y lo envía como razón en la respuesta Ask: 'Colmena error: Failed to read config file: /Users/fr33m4n/colmena/config/trust-firewall.yaml'. El agente recibe rutas absolutas del sistema.","En contextos multi-agente, los error messages se propagan a agentes que no deberían conocer la estructura del filesystem del host. Paths completos revelan: username del sistema (/Users/fr33m4n), ubicación del proyecto, estructura de directorios. Información útil para ataques de path traversal.",4,"Rutas internas y detalles de config expuestos en mensajes de error",8,"Cualquier error en el hook genera mensaje con rutas internas",8,"Enviar JSON malformado es trivial",3,"Solo afecta al agente/sesión que recibe el error",8,"Error messages son visibles en respuestas del hook",6.2,"Backend Team",,,"Sanitizar mensajes de error antes de enviar a stdout. Usar mensajes genéricos y loguear detalles solo en error log interno."
21,"Notificaciones via 'say' exponen agent_id y tool_name en audio audible","colmena-cli/src/notify.rs:L38-39","Information Disclosure (I)","Con say_announcements habilitado en config, cada operación Ask/Block genera un mensaje de audio con el agent_id y tool_name. Ejemplo: 'pentester needs approval for Bash'. En oficinas compartidas o grabaciones de screen recording, el naming scheme de agentes y operaciones queda expuesto.","En entornos corporativos con screen sharing o grabación de reuniones, los anuncios de audio revelan la estructura de seguridad del sistema: qué agentes existen, qué herramientas usan, y cuáles requieren aprobación. Esto es information leakage sobre la postura de seguridad.",3,"Esquema de naming de agentes y operaciones expuesto via audio",8,"Consistente cuando say_announcements está habilitado en config",9,"Solo requiere estar dentro del alcance auditivo o screen recording",3,"Limitado a entorno físico/auditivo cercano",7,"Configuración de notificaciones es visible en trust-firewall.yaml",6.0,"Security Team",,,"Sanitizar agent_id en mensajes say. Usar identificadores genéricos en anuncios. Documentar riesgo de say_announcements."
22,"Error log sin protección de integridad ni rotación — evidencia forense modificable","colmena-cli/src/main.rs:L544-556","Repudiation (R)","Un atacante con acceso local modifica o trunca colmena-errors.log para eliminar evidencia de errores que indicarían actividad sospechosa (ej: múltiples JSON parse failures que sugieren fuzzing del hook).","El log usa append mode (OpenOptions::append) pero no hay protección contra truncamiento. No hay rotación de log, así que el archivo crece indefinidamente. Sin checksums ni firma, la integridad del log no es verificable en un contexto forense.",5,"Log de errores modificable destruye evidencia forense de actividad sospechosa",7,"Truncar o modificar archivo es consistente con acceso local",5,"Requiere acceso local al filesystem",5,"Solo eventos de error (no auto-approve ni delegaciones)",6,"Path del log es determinístico (colmena_home/colmena-errors.log)",5.6,"DevOps",,,"Implementar log rotation con compresión. Agregar checksums por línea. Considerar syslog o structured logging."
23,"Race condition en patrón load-modify-save de delegaciones — pérdida de delegaciones en acceso concurrente","colmena-cli/src/main.rs:L245-265; colmena-mcp/src/main.rs:L153-171","Tampering (T)","Dos instancias de CC ejecutan 'delegate' simultáneamente. Ambas leen runtime-delegations.json, agregan su delegación al vector, y escriben. La segunda escritura sobrescribe la primera, perdiendo una delegación. El usuario cree que ambas están activas pero solo una lo está.","La pérdida silenciosa de delegaciones es un problema de seguridad sutil: el usuario confía en que la delegación existe pero no se aplica. Esto puede causar falsos positivos de seguridad (operaciones que deberían ser auto-approved son Ask) o falsa confianza (creer que una restricción fue delegada cuando no lo fue).",6,"Pérdida silenciosa de delegaciones causa comportamiento inesperado de trust",5,"Requiere acceso concurrente con timing específico",5,"Requiere dos sesiones CC ejecutando delegate simultáneamente",6,"Delegaciones individuales perdidas afectan agentes específicos",5,"Requiere conocimiento de concurrencia y acceso al código",5.4,"Backend Team",,,"Implementar file locking (flock) en load-modify-save. O usar base de datos SQLite para delegaciones."
